sensor_type,timestamp_ms,data1,data2,data3
ACCELEROMETER,1555396627553,-0.4331009,-0.3589234,9.796216
GYROSCOPE,1555396627549,16.03,0.07,-1.12
ACCELEROMETER,1555396627558,-0.46181473,-0.23688944,9.820145
GYROSCOPE,1555396627554,16.52,0.07,-0.91
ACCELEROMETER,1555396627563,-0.46181473,-0.23688944,9.820145
GYROSCOPE,1555396627559,16.52,-0.14,-0.42000002
ACCELEROMETER,1555396627568,-0.49052864,-0.0741775,9.875179
GYROSCOPE,1555396627564,16.52,-0.07,0.07
ACCELEROMETER,1555396627573,-0.49052864,-0.0741775,9.875179
GYROSCOPE,1555396627568,16.38,0.07,0.63
ACCELEROMETER,1555396627577,-0.49292147,-0.038285162,9.858429
GYROSCOPE,1555396627573,15.89,0.21000001,1.26
ACCELEROMETER,1555396627582,-0.49292147,-0.038285162,9.858429
GYROSCOPE,1555396627578,14.84,0.42000002,1.75
ACCELEROMETER,1555396627587,-0.52163535,0.10767703,9.889536
GYROSCOPE,1555396627583,13.58,0.63,2.17
ACCELEROMETER,1555396627592,-0.52163535,0.10767703,9.889536
GYROSCOPE,1555396627589,12.46,0.98,2.52
ACCELEROMETER,1555396627598,-0.47377887,0.13160524,9.942179
GYROSCOPE,1555396627594,11.06,1.26,2.8700001
ACCELEROMETER,1555396627603,-0.47377887,0.13160524,9.942179
GYROSCOPE,1555396627599,9.59,1.61,3.01
ACCELEROMETER,1555396627608,-0.50009996,0.13160524,9.95175
GYROSCOPE,1555396627604,8.19,1.96,3.22
ACCELEROMETER,1555396627613,-0.50009996,0.13160524,9.95175
GYROSCOPE,1555396627609,7.14,2.31,3.5
ACCELEROMETER,1555396627618,-0.4785645,0.06460621,9.970891
GYROSCOPE,1555396627613,6.44,2.73,3.78
ACCELEROMETER,1555396627622,-0.4785645,0.06460621,9.925428
GYROSCOPE,1555396627618,6.23,3.22,3.92
ACCELEROMETER,1555396627627,-0.4546363,0.014356935,9.925428
GYROSCOPE,1555396627623,6.3,3.78,3.99
ACCELEROMETER,1555396627632,-0.5072784,-0.033499517,9.882358
GYROSCOPE,1555396627629,6.58,4.2,3.92
ACCELEROMETER,1555396627638,-0.5072784,-0.033499517,9.882358
GYROSCOPE,1555396627634,7.56,4.97,3.85
ACCELEROMETER,1555396627643,-0.50488555,0.0957129,9.942179
GYROSCOPE,1555396627639,8.05,5.39,3.78
ACCELEROMETER,1555396627648,-0.50488555,0.0957129,9.942179
GYROSCOPE,1555396627644,8.54,5.81,3.71
ACCELEROMETER,1555396627653,-0.6053841,0.23688944,9.856036
GYROSCOPE,1555396627649,8.75,6.23,3.78
ACCELEROMETER,1555396627658,-0.6053841,0.23688944,9.856036
GYROSCOPE,1555396627654,8.75,6.58,3.78
ACCELEROMETER,1555396627663,-0.619741,0.2416751,9.84168
GYROSCOPE,1555396627658,8.89,6.7200003,3.78
ACCELEROMETER,1555396627667,-0.619741,0.2416751,9.84168
GYROSCOPE,1555396627664,9.38,6.86,3.64
ACCELEROMETER,1555396627673,-0.701097,0.3062813,9.726824
GYROSCOPE,1555396627668,9.66,6.65,3.43
ACCELEROMETER,1555396627678,-0.701097,0.3062813,9.726824
GYROSCOPE,1555396627673,9.52,6.3,3.22
ACCELEROMETER,1555396627682,-0.768096,0.2847459,9.698111
GYROSCOPE,1555396627679,9.17,6.02,3.22
ACCELEROMETER,1555396627688,-0.768096,0.2847459,9.698111
GYROSCOPE,1555396627684,8.96,5.6,3.3600001
ACCELEROMETER,1555396627693,-0.768096,0.32303107,9.712467
GYROSCOPE,1555396627689,8.68,5.32,3.64
ACCELEROMETER,1555396627698,-0.768096,0.32303107,9.712467
