sensor_type,timestamp_ms,data1,data2,data3
ACCELEROMETER,1555398833792,1.9645073,0.10528419,9.908678
GYROSCOPE,1555398833797,0.42000002,-0.7,0.21000001
ACCELEROMETER,1555398833796,1.969293,0.08614162,9.970891
GYROSCOPE,1555398833802,0.07,-0.7,0.21000001
ACCELEROMETER,1555398833802,1.969293,0.08614162,9.970891
GYROSCOPE,1555398833807,-0.35,-0.7,0.21000001
ACCELEROMETER,1555398833807,2.0315063,0.08614162,9.942179
GYROSCOPE,1555398833812,-0.63,-0.63,0.28
ACCELEROMETER,1555398833812,2.0315063,0.08614162,9.942179
GYROSCOPE,1555398833817,-0.42000002,-0.21000001,0.49
ACCELEROMETER,1555398833817,2.1056838,0.076570325,9.982857
GYROSCOPE,1555398833822,-0.14,0.56,0.7
ACCELEROMETER,1555398833822,2.1056838,0.076570325,9.982857
GYROSCOPE,1555398833827,0.21000001,1.4,0.91
ACCELEROMETER,1555398833827,2.2205396,-0.052642096,9.973285
GYROSCOPE,1555398833832,0.35,1.96,1.19
ACCELEROMETER,1555398833832,2.2205396,-0.052642096,9.973285
GYROSCOPE,1555398833837,0.07,2.52,1.4
ACCELEROMETER,1555398833837,2.3521447,-0.0023928226,9.966106
GYROSCOPE,1555398833842,0.28,3.08,1.54
ACCELEROMETER,1555398833842,2.3521447,-0.0023928226,9.966106
GYROSCOPE,1555398833847,0.49,3.92,1.54
ACCELEROMETER,1555398833847,2.440679,-0.14117654,10.083356
GYROSCOPE,1555398833852,0.7,4.83,1.82
ACCELEROMETER,1555398833852,2.440679,-0.14117654,10.083356
GYROSCOPE,1555398833857,0.84000003,5.95,1.89
ACCELEROMETER,1555398833857,2.5579274,0.014356935,10.334601
GYROSCOPE,1555398833862,0.63,7.35,1.54
ACCELEROMETER,1555398833862,2.5579274,0.014356935,10.334601
GYROSCOPE,1555398833867,-0.14,8.82,0.77
ACCELEROMETER,1555398833867,2.5890338,0.21296121,10.648061
GYROSCOPE,1555398833872,-1.26,10.36,0.28
ACCELEROMETER,1555398833872,2.5890338,0.21296121,10.648061
GYROSCOPE,1555398833877,-2.1,11.9,0.14
ACCELEROMETER,1555398833877,2.5411777,0.21056838,10.872985
GYROSCOPE,1555398833882,-2.94,13.2300005,0.35
ACCELEROMETER,1555398833882,2.5411777,0.21056838,10.872985
GYROSCOPE,1555398833887,-3.57,14.56,0.49
ACCELEROMETER,1555398833887,2.4957142,0.08614162,10.944772
GYROSCOPE,1555398833892,-4.48,15.75,0.56
ACCELEROMETER,1555398833892,2.4957142,0.08614162,10.944772
GYROSCOPE,1555398833897,-5.25,16.94,0.35
ACCELEROMETER,1555398833897,2.4382863,0.078963146,10.925629
GYROSCOPE,1555398833902,-5.6,18.06,0.07
ACCELEROMETER,1555398833902,2.4382863,0.078963146,10.925629
GYROSCOPE,1555398833907,-5.88,18.97,-0.07
ACCELEROMETER,1555398833907,2.3114667,0.052642096,10.805987
GYROSCOPE,1555398833912,-6.02,19.6,-0.07
ACCELEROMETER,1555398833912,2.3114667,0.052642096,10.683953
GYROSCOPE,1555398833917,-5.95,20.23,0.14
ACCELEROMETER,1555398833917,2.1678972,0.13878372,10.683953
GYROSCOPE,1555398833922,-5.81,20.79,0.14
ACCELEROMETER,1555398833922,2.024328,0.22492534,10.526026
GYROSCOPE,1555398833927,-5.53,21.28,-0.07
ACCELEROMETER,1555398833927,2.024328,0.22492534,10.526026
GYROSCOPE,1555398833931,-5.04,21.56,-0.21000001
ACCELEROMETER,1555398833932,1.8879371,0.20578276,10.430314
GYROSCOPE,1555398833937,-4.83,21.77,-0.07
ACCELEROMETER,1555398833937,1.8879371,0.20578276,10.430314
GYROSCOPE,1555398833942,-4.62,21.7,-0.07
ACCELEROMETER,1555398833942,1.8233309,0.21535406,10.315458
