sensor_type,timestamp_ms,data1,data2,data3
GYROSCOPE,1554972523092,-17.710001,23.38,-20.65
ACCELEROMETER,1554972523094,-0.54317075,0.35174492,10.449455
GYROSCOPE,1554972523098,-14.9800005,24.08,-21.42
ACCELEROMETER,1554972523100,-0.54317075,0.35174492,10.449455
GYROSCOPE,1554972523103,-11.55,24.92,-21.91
ACCELEROMETER,1554972523105,-0.45942193,0.12921242,10.509278
GYROSCOPE,1554972523108,-7.98,25.83,-22.19
ACCELEROMETER,1554972523110,-0.45942193,0.12921242,10.509278
GYROSCOPE,1554972523112,-1.33,28.14,-22.19
ACCELEROMETER,1554972523114,-0.41395834,0.081355974,10.449455
GYROSCOPE,1554972523118,-1.33,28.14,-22.19
ACCELEROMETER,1554972523120,-0.40677986,0.13639088,10.351351
GYROSCOPE,1554972523122,1.47,29.33,-22.19
ACCELEROMETER,1554972523125,-0.40677986,0.13639088,10.351351
GYROSCOPE,1554972523128,3.57,30.66,-22.26
ACCELEROMETER,1554972523130,-0.44745785,0.31106696,10.1288185
GYROSCOPE,1554972523133,4.76,31.99,-22.4
ACCELEROMETER,1554972523135,-0.44745785,0.31106696,10.1288185
GYROSCOPE,1554972523138,5.95,33.18,-22.05
ACCELEROMETER,1554972523139,-0.5288138,0.3062813,10.07139
GYROSCOPE,1554972523142,6.09,34.79,-21.63
ACCELEROMETER,1554972523145,-0.5288138,0.3062813,10.07139
GYROSCOPE,1554972523147,5.6,35.28,-21.210001
ACCELEROMETER,1554972523149,-0.5838487,0.1794617,9.942179
GYROSCOPE,1554972523152,4.76,35.7,-20.79
ACCELEROMETER,1554972523154,-0.5838487,0.1794617,9.942179
GYROSCOPE,1554972523157,4.34,35.98,-20.51
ACCELEROMETER,1554972523159,-0.6221339,0.021535406,9.920642
GYROSCOPE,1554972523162,4.62,36.12,-20.16
ACCELEROMETER,1554972523164,-0.6221339,0.021535406,9.920642
GYROSCOPE,1554972523167,5.25,36.33,-19.67
ACCELEROMETER,1554972523169,-0.6675976,-0.20817557,9.882358
GYROSCOPE,1554972523172,6.02,36.33,-19.11
ACCELEROMETER,1554972523174,-0.6675976,-0.20817557,9.882358
GYROSCOPE,1554972523178,6.93,36.47,-18.34
