sensor_type,timestamp_ms,data1,data2,data3
GYROSCOPE,1555396999447,4.27,-1.4,-0.35
ACCELEROMETER,1555396999457,-0.3684947,2.7421746,9.676575
GYROSCOPE,1555396999453,4.2,-1.19,-0.63
ACCELEROMETER,1555396999463,-0.29192436,2.7349963,9.667004
GYROSCOPE,1555396999458,3.78,-0.98,-0.7
ACCELEROMETER,1555396999468,-0.24885355,2.6608188,9.631111
GYROSCOPE,1555396999462,3.3600001,-0.7,-1.05
ACCELEROMETER,1555396999472,-0.24885355,2.6608188,9.631111
GYROSCOPE,1555396999467,3.08,-0.49,-1.47
ACCELEROMETER,1555396999477,-0.19381863,2.5292134,9.60479
GYROSCOPE,1555396999472,2.45,0.21000001,-2.31
ACCELEROMETER,1555396999482,-0.19381863,2.5292134,9.60479
GYROSCOPE,1555396999477,2.24,0.56,-2.73
ACCELEROMETER,1555396999487,-0.17706887,2.545963,9.549755
GYROSCOPE,1555396999483,2.1,0.84000003,-2.94
ACCELEROMETER,1555396999493,-0.17706887,2.545963,9.549755
GYROSCOPE,1555396999488,1.75,1.33,-3.08
ACCELEROMETER,1555396999498,-0.148355,2.5698915,9.525827
GYROSCOPE,1555396999493,1.19,1.82,-3.22
ACCELEROMETER,1555396999503,-0.148355,2.5698915,9.525827
GYROSCOPE,1555396999498,0.7,2.31,-3.22
ACCELEROMETER,1555396999508,-0.15314065,2.5938196,9.5353985
GYROSCOPE,1555396999503,0.14,2.8,-3.22
ACCELEROMETER,1555396999513,-0.15314065,2.5938196,9.5353985
GYROSCOPE,1555396999508,-0.21000001,3.22,-3.22
ACCELEROMETER,1555396999518,-0.19621144,2.478964,9.530612
GYROSCOPE,1555396999513,-0.07,3.57,-3.15
ACCELEROMETER,1555396999523,-0.19621144,2.478964,9.530612
GYROSCOPE,1555396999518,0.14,3.64,-3.22
ACCELEROMETER,1555396999528,-0.26081768,2.400001,9.530612
GYROSCOPE,1555396999523,0.7,3.71,-3.29
ACCELEROMETER,1555396999533,-0.26081768,2.400001,9.530612
GYROSCOPE,1555396999528,1.19,3.57,-3.29
ACCELEROMETER,1555396999538,-0.32303107,2.3808584,9.533006
GYROSCOPE,1555396999533,1.6800001,3.43,-3.15
ACCELEROMETER,1555396999543,-0.32303107,2.3808584,9.533006
GYROSCOPE,1555396999538,1.96,3.22,-2.8
ACCELEROMETER,1555396999548,-0.35174492,2.4909284,9.568897
GYROSCOPE,1555396999542,2.24,3.15,-2.45
ACCELEROMETER,1555396999552,-0.35174492,2.4909284,9.568897
GYROSCOPE,1555396999547,2.17,3.22,-2.17
ACCELEROMETER,1555396999558,-0.39720857,2.5627131,9.49472
GYROSCOPE,1555396999553,1.89,3.22,-1.82
ACCELEROMETER,1555396999563,-0.39720857,2.5627131,9.49472
GYROSCOPE,1555396999557,1.75,3.15,-1.47
ACCELEROMETER,1555396999567,-0.41635114,2.5962124,9.489935
GYROSCOPE,1555396999562,1.54,3.01,-1.12
ACCELEROMETER,1555396999572,-0.41635114,2.5962124,9.489935
GYROSCOPE,1555396999568,1.4,2.8700001,-0.77
ACCELEROMETER,1555396999578,-0.4761717,2.5842485,9.49472
GYROSCOPE,1555396999573,1.47,2.59,-0.35
ACCELEROMETER,1555396999583,-0.4761717,2.5842485,9.49472
GYROSCOPE,1555396999578,1.75,2.31,-0.14
ACCELEROMETER,1555396999588,-0.53359944,2.5962124,9.530612
GYROSCOPE,1555396999582,1.96,2.03,0.14
ACCELEROMETER,1555396999592,-0.53359944,2.5962124,9.530612
GYROSCOPE,1555396999587,2.24,1.96,0.14
ACCELEROMETER,1555396999598,-0.52642095,2.6536403,9.571291
GYROSCOPE,1555396999592,2.45,1.75,0.21000001
ACCELEROMETER,1555396999602,-0.52642095,2.6536403,9.571291
GYROSCOPE,1555396999598,2.8,1.47,0.28
ACCELEROMETER,1555396999608,-0.52163535,2.6536403,9.51147
GYROSCOPE,1555396999603,3.08,1.26,0.28
ACCELEROMETER,1555396999613,-0.52163535,2.6536403,9.51147
GYROSCOPE,1555396999607,3.29,1.12,0.35
ACCELEROMETER,1555396999617,-0.5168497,2.7517462,9.518648
GYROSCOPE,1555396999613,3.3600001,1.05,0.49
ACCELEROMETER,1555396999623,-0.5168497,2.7517462,9.518648
GYROSCOPE,1555396999617,3.57,0.91,0.56
ACCELEROMETER,1555396999627,-0.5838487,2.7469604,9.533006
GYROSCOPE,1555396999622,3.57,0.56,0.56
ACCELEROMETER,1555396999633,-0.5838487,2.7469604,9.533006
GYROSCOPE,1555396999628,3.64,0.28,0.49
ACCELEROMETER,1555396999638,-0.55274206,2.7876384,9.556933
GYROSCOPE,1555396999633,3.71,-0.14,0.35
ACCELEROMETER,1555396999643,-0.55274206,2.7876384,9.556933
GYROSCOPE,1555396999638,3.92,-0.42000002,0.28
ACCELEROMETER,1555396999648,-0.5599205,2.7086754,9.542577
GYROSCOPE,1555396999642,4.13,-0.63,0.28
ACCELEROMETER,1555396999652,-0.46660042,2.761317,9.623933
GYROSCOPE,1555396999648,4.55,-0.84000003,-0.07
ACCELEROMETER,1555396999658,-0.46660042,2.761317,9.623933
GYROSCOPE,1555396999653,4.83,-0.98,-0.49
ACCELEROMETER,1555396999663,-0.42113677,2.794817,9.628718
GYROSCOPE,1555396999658,5.11,-0.77,-0.84000003
ACCELEROMETER,1555396999668,-0.42113677,2.794817,9.628718
GYROSCOPE,1555396999662,4.97,-0.49,-1.26
ACCELEROMETER,1555396999672,-0.3445665,2.8187451,9.609575
