sensor_type,timestamp_ms,data1,data2,data3
GYROSCOPE,1554972579526,-1.47,-8.68,-0.35
ACCELEROMETER,1554972579527,2.2037895,-2.579463,9.315259
GYROSCOPE,1554972579530,-0.56,-8.89,-0.21000001
ACCELEROMETER,1554972579533,2.1942184,-2.579463,9.288938
GYROSCOPE,1554972579536,0.42000002,-9.03,-0.21000001
ACCELEROMETER,1554972579538,2.1942184,-2.579463,9.288938
GYROSCOPE,1554972579541,0.98,-8.96,0.14
ACCELEROMETER,1554972579543,2.2636104,-2.4646072,9.298509
GYROSCOPE,1554972579546,1.26,-8.89,0.21000001
ACCELEROMETER,1554972579548,2.2636104,-2.4646072,9.298509
GYROSCOPE,1554972579550,1.33,-8.82,0.21000001
ACCELEROMETER,1554972579552,2.2109683,-2.416751,9.255438
GYROSCOPE,1554972579555,1.12,-8.82,0.21000001
ACCELEROMETER,1554972579557,2.2109683,-2.416751,9.255438
GYROSCOPE,1554972579560,0.98,-8.96,0.21000001
ACCELEROMETER,1554972579562,2.2085752,-2.3784657,9.2793665
GYROSCOPE,1554972579565,1.12,-9.17,0.35
ACCELEROMETER,1554972579567,2.2085752,-2.3784657,9.2793665
GYROSCOPE,1554972579570,1.26,-9.52,0.56
ACCELEROMETER,1554972579572,2.1918254,-2.428715,9.348758
GYROSCOPE,1554972579576,1.33,-9.7300005,0.63
ACCELEROMETER,1554972579577,2.1918254,-2.428715,9.348758
GYROSCOPE,1554972579580,1.47,-10.01,0.63
ACCELEROMETER,1554972579582,2.1870399,-2.4550362,9.353544
GYROSCOPE,1554972579585,1.47,-10.43,0.63
ACCELEROMETER,1554972579588,2.2133608,-2.388037,9.24108
GYROSCOPE,1554972579591,1.54,-10.71,0.63
ACCELEROMETER,1554972579592,2.2133608,-2.388037,9.24108
GYROSCOPE,1554972579595,1.6800001,-11.06,0.56
ACCELEROMETER,1554972579597,2.2157538,-2.359323,9.24108
GYROSCOPE,1554972579600,1.4,-11.83,0.49
ACCELEROMETER,1554972579602,2.2157538,-2.359323,9.24108
GYROSCOPE,1554972579605,1.05,-12.11,0.42000002
ACCELEROMETER,1554972579607,2.2372892,-2.3353949,9.229117
GYROSCOPE,1554972579611,0.49,-12.39,0.42000002
ACCELEROMETER,1554972579613,2.2372892,-2.3353949,9.229117
GYROSCOPE,1554972579616,-0.21000001,-12.67,0.42000002
ACCELEROMETER,1554972579618,2.3138595,-2.292324,9.24108
GYROSCOPE,1554972579621,-0.77,-12.88,0.28
ACCELEROMETER,1554972579623,2.3138595,-2.292324,9.24108
GYROSCOPE,1554972579625,-1.19,-13.16,0.14
ACCELEROMETER,1554972579627,2.347359,-2.2731814,9.276974
GYROSCOPE,1554972579631,-1.47,-13.440001,0.07
ACCELEROMETER,1554972579633,2.347359,-2.2731814,9.276974
GYROSCOPE,1554972579635,-1.6800001,-13.65,0.14
ACCELEROMETER,1554972579637,2.333002,-2.3545375,9.24826
GYROSCOPE,1554972579640,-1.6800001,-13.65,0.28
ACCELEROMETER,1554972579642,2.333002,-2.3545375,9.24826
GYROSCOPE,1554972579645,-1.6800001,-13.72,0.28
ACCELEROMETER,1554972579647,2.3401806,-2.3665016,9.298509
GYROSCOPE,1554972579651,-1.61,-13.86,0.14
ACCELEROMETER,1554972579653,2.3401806,-2.3665016,9.298509
GYROSCOPE,1554972579656,-1.54,-14.14,0.14
ACCELEROMETER,1554972579658,2.3162522,-2.3904297,9.3104725
GYROSCOPE,1554972579661,-1.4,-14.35,-0.21000001
ACCELEROMETER,1554972579663,2.3162522,-2.3904297,9.3104725
GYROSCOPE,1554972579666,-1.12,-14.77,-0.35
ACCELEROMETER,1554972579668,2.347359,-2.3952155,9.343972
GYROSCOPE,1554972579671,-0.84000003,-15.12,-0.42000002
ACCELEROMETER,1554972579673,2.347359,-2.3952155,9.343972
GYROSCOPE,1554972579675,-0.7,-15.54,-0.56
ACCELEROMETER,1554972579677,2.4023938,-2.4119651,9.272188
GYROSCOPE,1554972579680,-0.7,-15.96,-0.63
ACCELEROMETER,1554972579682,2.4023938,-2.4119651,9.272188
GYROSCOPE,1554972579686,-0.84000003,-16.38,-0.63
ACCELEROMETER,1554972579688,2.4335008,-2.3425734,9.253045
GYROSCOPE,1554972579691,-1.61,-16.66,-0.42000002
ACCELEROMETER,1554972579692,2.4335008,-2.3425734,9.253045
GYROSCOPE,1554972579695,-2.52,-16.94,-0.35
ACCELEROMETER,1554972579697,2.4382863,-2.2277179,9.262616
GYROSCOPE,1554972579701,-3.92,-17.36,-0.14
ACCELEROMETER,1554972579703,2.4382863,-2.2277179,9.262616
GYROSCOPE,1554972579706,-5.81,-17.78,-0.07
ACCELEROMETER,1554972579708,2.4717858,-2.254039,9.221939
GYROSCOPE,1554972579710,-7.91,-18.34,0.07
ACCELEROMETER,1554972579712,2.4717858,-2.254039,9.221939
GYROSCOPE,1554972579716,-9.94,-18.9,0.28
ACCELEROMETER,1554972579718,2.524428,-2.3186452,9.193225
GYROSCOPE,1554972579720,-11.76,-19.53,0.63
ACCELEROMETER,1554972579722,2.524428,-2.3186452,9.193225
GYROSCOPE,1554972579725,-13.2300005,-20.16,0.77
